Pause Interior - Financial Model (illustrative placeholders),,,,
Currency: SEK (kr) - CONFIRM,,,,
,,,,
SECTION,Item,Placeholder,Your number,Formula / note
INPUTS,Average Order Value (AOV),1200,,CONFIRM
INPUTS,Gross margin % (GM),0.55,,CONFIRM
INPUTS,Site conversion rate (CVR),0.02,,CONFIRM
INPUTS,Purchases per customer per year (Freq),1.6,,CONFIRM
INPUTS,Customer lifespan years (Life),3,,CONFIRM
INPUTS,Variable cost per order (ship+pay+pack),150,,CONFIRM
INPUTS,Customer acquisition cost (CAC),250,,CONFIRM
INPUTS,Monthly fixed costs (FC),8000,,CONFIRM
INPUTS,Current monthly traffic (sessions),,,CONFIRM
INPUTS,Current email list size,,,CONFIRM
,,,,
UNIT ECONOMICS,Gross profit per order,660,,= AOV * GM
UNIT ECONOMICS,Contribution per first order,260,,= (AOV*GM) - VarCost - CAC
UNIT ECONOMICS,LTV (gross profit),3168,,= AOV * GM * Freq * Life
UNIT ECONOMICS,LTV : CAC ratio,12.7,,= LTV / CAC (target >= 3)
UNIT ECONOMICS,First-order payback,Yes,,Contribution positive on first order
,,,,
SCENARIOS,Scenario,Monthly sessions,Orders (CVR),Revenue / Gross profit
SCENARIOS,Conservative,3000,60,72000 / 39600
SCENARIOS,Base,8000,160,192000 / 105600
SCENARIOS,Stretch,20000,400,480000 / 264000
,,,,
PROFIT (Base example),Line,Value,,Formula
PROFIT (Base example),Revenue,192000,,= sessions * CVR * AOV
PROFIT (Base example),Gross profit,105600,,= Revenue * GM
PROFIT (Base example),Variable costs (160 orders x 150),24000,,= orders * VarCost
PROFIT (Base example),Marketing / CAC (160 x 250),40000,,= orders * CAC
PROFIT (Base example),Fixed costs,8000,,= FC
PROFIT (Base example),Operating profit,33600,,= GrossProfit - VarCosts - CAC - FC
,,,,
NOTE,All values illustrative. Replace inputs with real numbers.,,,
NOTE,In Google Sheets convert the Formula column to live formulas for an interactive model.,,,
